V,I_1,I_2,I_3,I_4,I_5
0,0.11301,0.11303,0.11648,0.11324,0.1131
0.05,0.0724,0.0724,0.07221,0.06819,0.08037
0.1,0.03852,0.03864,0.0384,0.03852,0.03864
0.15,0.02062,0.02077,0.02062,0.01752,0.02125
0.2,0.00954,0.00952,0.00944,0.00963,0.00989
0.25,0.00468,0.00461,0.00437,0.00471,0.0046
0.3,0.00185,0.00188,0.00209,0.00209,0.00194
0.4,0.00051,0.00057,0.00067,0.00061,0.00056
0.45,0.00046,0.00042,0.00044,0.00043,0.00052
0.5,0.00083,0.00075,0.00063,0.00088,0.00088
0.55,0.0026,0.00046,0.00023,0.00035,0.00018
0.6,0.00036,0.00117,0.00042,0.00031,0.00027
