V,I_1,I_2,I_3,I_4,I_5
0,2.7008,2.7009,2.7008,2.7007,2.701
0.02,2.6045,2.6043,2.6042,2.6053,2.6045
0.04,2.538,2.5401,2.5412,2.541,2.541
0.05,2.4779,2.478,2.4778,2.4772,2.4777
0.06,2.3984,2.4008,2.4016,2.4005,2.4016
0.07,2.3554,2.3599,2.3592,2.3588,2.3592
0.1,2.2212,2.2221,2.2216,2.2222,2.2229
0.14,2.0321,2.0323,2.033,2.0333,2.0334
0.15,1.9771,1.9786,1.9796,1.9801,1.9804
0.17,1.8895,1.8902,1.8883,1.8894,1.8899
0.19,1.8213,1.821,1.8213,1.8216,1.8222
0.21,1.7259,1.7278,1.7283,1.7284,1.7279
0.24,1.6286,1.6293,1.6296,1.6298,1.6281
0.26,1.5406,1.541,1.5414,1.5409,1.5415
0.29,1.4134,1.4141,1.4144,1.4146,1.4148
0.31,1.3165,1.3168,1.3172,1.3174,1.3172
0.35,1.1505,1.1509,1.1514,1.1524,1.1516
0.39,1.0236,1.0207,1.0217,1.0218,1.0225
0.41,0.9436,0.9441,0.9452,0.9456,0.9458
0.43,0.8711,0.8712,0.8714,0.8709,0.871
0.46,0.7595,0.7613,0.7629,0.7636,0.7631
0.48,0.6987,0.7014,0.7026,0.7015,0.7021
0.52,0.5738,0.5736,0.5727,0.5741,0.5736
0.54,0.5251,0.5245,0.5237,0.5237,0.5238
0.57,0.4365,0.4363,0.4364,0.4369,0.4368
0.59,0.3937,0.3939,0.3942,0.3942,0.3947
0.64,0.2878,0.288,0.2882,0.2881,0.2882
0.67,0.2279,0.2283,0.2284,0.2284,0.2285
0.71,0.1582,0.158,0.1582,0.1585,0.1582
0.73,0.1246,0.1248,0.1246,0.125,0.1253
0.77,0.0802,0.0804,0.0809,0.0806,0.0804
0.79,0.0636,0.0632,0.0629,0.0631,0.063
0.81,0.0471,0.0472,0.0472,0.0473,0.0473
0.83,0.0368,0.0365,0.0365,0.0365,0.036
0.87,0.0158,0.0159,0.016,0.016,0.016
0.89,0.0126,0.0125,0.0125,0.0126,0.0124
0.91,0.0072,0.0072,0.0072,0.0071,0.0071
0.93,0.0059,0.0053,0.0053,0.0054,0.0054
0.95,0.0026,0.0031,0.003,0.0034,0.0028
0.98,0,-0.0003,0.0013,0.0012,0.0011
1.02,0.0001,-0.0003,-0.0001,0,0
1.05,-0.0008,-0.0005,-0.0008,-0.0008,-0.0009
1.08,-0.00013,-0.0012,-0.0013,-0.0011,-0.0016
1.11,-0.0022,-0.0016,-0.0017,-0.0012,-0.0015
1.14,-0.0017,-0.0019,-0.0018,-0.0018,-0.002
1.16,-0.002,-0.0019,-0.0019,-0.0022,-0.0022
1.18,-0.0021,-0.0024,-0.0023,-0.0021,-0.0022
