Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-8.9200e-03,-0.0607812,0.000369063
-8.9100e-03,-0.0603125,7.8125e-06
-8.9000e-03,-0.0703125,0.000426875
-8.8900e-03,-0.0548437,-0.000447188
-8.8800e-03,-0.0485938,-0.000585
-8.8700e-03,-0.0535937,8.40625e-05
-8.8600e-03,-0.0485938,-0.000396563
-8.8500e-03,-0.0521875,6.59375e-05
-8.8400e-03,-0.0417187,0.000396563
-8.8300e-03,-0.0534375,1.9375e-05
-8.8200e-03,-0.0553125,-0.000285
-8.8100e-03,-0.0467188,-0.000666875
-8.8000e-03,-0.0575,-0.000322813
-8.7900e-03,-0.0426562,0.000714063
-8.7800e-03,-0.0710937,0.000185313
-8.7700e-03,-0.0596875,-0.00030875
-8.7600e-03,-0.0371875,-0.000727813
-8.7500e-03,-0.059375,-0.000345938
-8.7400e-03,-0.0545313,-0.000425938
-8.7300e-03,-0.0651562,-0.00033375
-8.7200e-03,-0.0520313,0.000154688
-8.7100e-03,-0.0579687,-8.65625e-05
-8.7000e-03,-0.0510938,0.000114375
-8.6900e-03,-0.0567187,-0.000645
-8.6800e-03,-0.0460938,-0.000611875
-8.6700e-03,-0.0503125,-1.71875e-05
-8.6600e-03,-0.0573437,-9.28125e-05
-8.6500e-03,-0.03625,3.75e-06
-8.6400e-03,-0.0592188,-0.000434063
-8.6300e-03,-0.049375,-0.000540938
-8.6200e-03,-0.0623438,-7.25e-05
-8.6100e-03,-0.0454688,-0.000612813
-8.6000e-03,-0.0475,0.000187813
-8.5900e-03,-0.05375,0.000122813
-8.5800e-03,-0.0420312,0.000160313
-8.5700e-03,-0.0598438,9.0625e-06
-8.5600e-03,-0.05,-0.000363125
-8.5500e-03,-0.0442188,-0.000474375
-8.5400e-03,-0.0454688,-0.000346875
-8.5300e-03,-0.0509375,-0.000574375
-8.5200e-03,-0.04875,-0.000231563
-8.5100e-03,-0.0503125,-0.0002575
-8.5000e-03,-0.04375,-0.000226875
-8.4900e-03,-0.0432813,-0.000257188
-8.4800e-03,-0.0553125,0.000237813
-8.4700e-03,-0.0573437,0.000619375
-8.4600e-03,-0.0498438,-0.000216563
-8.4500e-03,-0.053125,7.25e-05
-8.4400e-03,-0.0582813,0.000435313
-8.4300e-03,-0.0523437,-9.6875e-05
-8.4200e-03,-0.0560937,0.000141875
-8.4100e-03,-0.0546875,-0.000509688
-8.4000e-03,-0.0529687,-0.000412188
-8.3900e-03,-0.0507812,-4.1875e-05
-8.3800e-03,-0.049375,-0.000829063
-8.3700e-03,-0.0557813,-0.000416563
-8.3600e-03,-0.06,-0.000398438
-8.3500e-03,-0.0546875,-0.000248438
-8.3400e-03,-0.06375,0.000173438
-8.3300e-03,-0.06125,-0.000488438
-8.3200e-03,-0.0529687,-0.000873125
-8.3100e-03,-0.0415625,-0.00043125
-8.3000e-03,-0.0392187,-0.000134375
-8.2900e-03,-0.0523437,6.15625e-05
-8.2800e-03,-0.0514063,0.000283125
-8.2700e-03,-0.06,-0.000363125
-8.2600e-03,-0.045625,-0.000284688
