Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05012,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,1,,
Vertical Position,0.02,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.200000e-04,-0.048125,-0.00167563,4.87459
1.210000e-04,-0.0528125,-0.00122422,4.8949
1.220000e-04,-0.0515625,-0.00172,4.88396
1.230000e-04,-0.055,-0.00131734,4.88428
1.240000e-04,-0.0573437,-0.00145469,4.91553
1.250000e-04,-0.0440625,-0.00157438,4.88459
1.260000e-04,-0.059375,-0.0015175,4.91709
1.270000e-04,-0.0667188,-0.00153203,4.92021
1.280000e-04,-0.05,-0.00179797,4.92427
1.290000e-04,-0.0425,-0.00130328,4.92896
1.300000e-04,-0.0571875,-0.00159016,4.91834
1.310000e-04,-0.0595313,-0.00147828,4.93052
1.320000e-04,-0.0609375,-0.00147906,4.93209
1.330000e-04,-0.0567187,-0.00154875,4.9524
1.340000e-04,-0.0573437,-0.00150844,4.89677
1.350000e-04,-0.0615625,-0.00145547,4.91052
1.360000e-04,-0.0484375,-0.00150219,4.91302
1.370000e-04,-0.0509375,-0.00129766,4.92396
1.380000e-04,-0.0615625,-0.00163578,4.92646
1.390000e-04,-0.055625,-0.00151594,4.95334
1.400000e-04,-0.0595313,-0.00131656,4.92928
1.410000e-04,-0.0526563,-0.00142531,4.91052
1.420000e-04,-0.0496875,-0.00156375,4.93959
1.430000e-04,-0.058125,-0.00130219,4.91052
1.440000e-04,-0.0565625,-0.00174469,4.92334
1.450000e-04,-0.0589063,-0.0011475,4.95709
1.460000e-04,-0.0654688,-0.00128625,4.88396
1.470000e-04,-0.0575,-0.00152188,4.93928
1.480000e-04,-0.064375,-0.00119313,4.92896
1.490000e-04,-0.0621875,-0.00186313,4.90459
1.500000e-04,-0.0626562,-0.00139234,4.91771
1.510000e-04,-0.0564063,-0.00154344,4.89834
1.520000e-04,-0.0404687,-0.00153813,4.92584
1.530000e-04,-0.0604688,-0.00118594,4.92209
1.540000e-04,-0.0546875,-0.00179219,4.89053
1.550000e-04,-0.0535937,-0.00151156,4.89927
1.560000e-04,-0.061875,-0.00142875,4.89271
1.570000e-04,-0.05625,-0.00141641,4.91365
1.580000e-04,-0.0564063,-0.00119734,4.91021
1.590000e-04,-0.068125,-0.00144094,4.89115
1.600000e-04,-0.0603125,-0.00172375,4.9049
1.610000e-04,-0.0553125,-0.00138016,4.89334
1.620000e-04,-0.0601562,-0.00163453,4.91646
1.630000e-04,-0.0557813,-0.00115969,4.9124
1.640000e-04,-0.0510938,-0.00144359,4.91521
1.650000e-04,-0.0535937,-0.00163188,4.90521
1.660000e-04,-0.0482812,-0.00133094,4.88865
1.670000e-04,-0.0625,-0.00150906,4.93678
1.680000e-04,-0.0570313,-0.00105828,4.90834
1.690000e-04,-0.055,-0.00150781,4.9274
1.700000e-04,-0.0545313,-0.00136781,4.91271
1.710000e-04,-0.0526563,-0.00147109,4.91865
