Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0526563,-0.000290313
-1.0220e-02,-0.0590625,-0.000552813
-1.0210e-02,-0.04875,-0.000279063
-1.0200e-02,-0.0560937,4.21875e-05
-1.0190e-02,-0.0509375,-1e-05
-1.0180e-02,-0.0398437,-5.4375e-05
-1.0170e-02,-0.0553125,-0.0001375
-1.0160e-02,-0.0571875,-0.0006525
-1.0150e-02,-0.0626562,-0.000213125
-1.0140e-02,-0.0540625,0.000310625
-1.0130e-02,-0.0617188,-0.000594063
-1.0120e-02,-0.060625,6.9375e-05
-1.0110e-02,-0.0623438,-0.0001925
-1.0100e-02,-0.0571875,-0.000271563
-1.0090e-02,-0.0620312,-0.00042
-1.0080e-02,-0.0435938,0.000566875
-1.0070e-02,-0.0451563,-3.125e-06
-1.0060e-02,-0.0523437,-0.000220313
-1.0050e-02,-0.041875,-0.000654063
-1.0040e-02,-0.0457813,-0.000151875
-1.0030e-02,-0.0634375,-9.59375e-05
-1.0020e-02,-0.0545313,-0.000250625
-1.0010e-02,-0.0571875,2.1875e-06
-1.0000e-02,-0.0559375,-0.000224375
-9.9900e-03,-0.0545313,0.000149375
-9.9800e-03,-0.0520313,0.000405625
-9.9700e-03,-0.0554687,-3.34375e-05
-9.9600e-03,-0.0578125,-0.000575
-9.9500e-03,-0.0592188,-0.000178438
-9.9400e-03,-0.0604688,1.625e-05
-9.9300e-03,-0.0590625,-8.1875e-05
-9.9200e-03,-0.0539063,-0.000284063
-9.9100e-03,-0.0454688,0.000425313
-9.9000e-03,-0.0595313,0.000177813
-9.8900e-03,-0.0598438,0.000149375
-9.8800e-03,-0.0554687,-0.000397188
-9.8700e-03,-0.06375,0.000635625
-9.8600e-03,-0.0526563,-0.000693125
-9.8500e-03,-0.0565625,0.000197813
-9.8400e-03,-0.04875,0.000409688
-9.8300e-03,-0.0546875,-0.000259688
-9.8200e-03,-0.0557813,9.6875e-05
-9.8100e-03,-0.0528125,-0.000615313
-9.8000e-03,-0.0545313,-0.000486875
-9.7900e-03,-0.056875,-0.000600313
-9.7800e-03,-0.0525,-0.00023625
-9.7700e-03,-0.0646875,-0.000133438
-9.7600e-03,-0.05,1.84375e-05
-9.7500e-03,-0.056875,0.000303438
-9.7400e-03,-0.05125,-0.000199688
-9.7300e-03,-0.06125,-0.000314375
-9.7200e-03,-0.0528125,-0.000510625
-9.7100e-03,-0.0551563,-0.000414688
-9.7000e-03,-0.0460938,-0.000149375
-9.6900e-03,-0.0475,-0.000605938
-9.6800e-03,-0.0489062,-0.000496563
-9.6700e-03,-0.0559375,0.000394688
-9.6600e-03,-0.0596875,-0.000285313
-9.6500e-03,-0.06,-0.000542813
-9.6400e-03,-0.0534375,8.65625e-05
-9.6300e-03,-0.061875,-0.000685938
-9.6200e-03,-0.0567187,-0.000214063
