Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05012,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,1,,
Vertical Position,0.02,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.200000e-04,-0.0526563,-0.00104109,4.91021
1.210000e-04,-0.0565625,-0.00139828,4.93709
1.220000e-04,-0.051875,-0.00124984,4.89803
1.230000e-04,-0.0565625,-0.00124281,4.92209
1.240000e-04,-0.0521875,-0.00117375,4.90053
1.250000e-04,-0.0496875,-0.00119188,4.93771
1.260000e-04,-0.0626562,-0.00104219,4.90334
1.270000e-04,-0.065625,-0.00131391,4.89615
1.280000e-04,-0.0479688,-0.00122484,4.89459
1.290000e-04,-0.0534375,-0.000966563,4.91302
1.300000e-04,-0.0576563,-0.00116703,4.93209
1.310000e-04,-0.050625,-0.00130141,4.9249
1.320000e-04,-0.0646875,-0.000985156,4.9474
1.330000e-04,-0.0614062,-0.001275,4.9099
1.340000e-04,-0.05125,-0.00121328,4.91646
1.350000e-04,-0.0514063,-0.00124609,4.92396
1.360000e-04,-0.0545313,-0.00141344,4.94303
1.370000e-04,-0.0517188,-0.00120438,4.93271
1.380000e-04,-0.0375,-0.00123297,4.92052
1.390000e-04,-0.0553125,-0.00113391,4.91302
1.400000e-04,-0.0601562,-0.00133828,4.92959
1.410000e-04,-0.0632812,-0.00110484,4.92615
1.420000e-04,-0.0535937,-0.00116438,4.91771
1.430000e-04,-0.053125,-0.00130875,4.93021
1.440000e-04,-0.0420312,-0.00110313,4.91459
1.450000e-04,-0.051875,-0.00148094,4.91553
1.460000e-04,-0.045,-0.00106984,4.92021
1.470000e-04,-0.0553125,-0.00126609,4.90834
1.480000e-04,-0.0526563,-0.00106344,4.92553
1.490000e-04,-0.053125,-0.00121125,4.90334
1.500000e-04,-0.063125,-0.00126344,4.90521
1.510000e-04,-0.0465625,-0.000970469,4.90396
1.520000e-04,-0.0529687,-0.00130953,4.91302
1.530000e-04,-0.055625,-0.00125516,4.91365
1.540000e-04,-0.0546875,-0.00127297,4.9199
1.550000e-04,-0.0598438,-0.00125828,4.9124
1.560000e-04,-0.0570313,-0.00102219,4.91677
1.570000e-04,-0.053125,-0.00125469,4.92427
1.580000e-04,-0.0545313,-0.00101781,4.8874
1.590000e-04,-0.0557813,-0.00116984,4.92303
1.600000e-04,-0.059375,-0.00137188,4.91209
1.610000e-04,-0.0517188,-0.000869375,4.92209
1.620000e-04,-0.0614062,-0.00117047,4.9299
1.630000e-04,-0.0529687,-0.00107281,4.92052
1.640000e-04,-0.0471875,-0.000859688,4.91271
1.650000e-04,-0.0596875,-0.00144172,4.90334
1.660000e-04,-0.0620312,-0.00106188,4.94209
1.670000e-04,-0.0560937,-0.000997656,4.90146
1.680000e-04,-0.0584375,-0.00118266,4.92334
1.690000e-04,-0.0389063,-0.000634219,4.92521
1.700000e-04,-0.0584375,-0.00155906,4.93615
1.710000e-04,-0.0575,-0.00108797,4.9224
