Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0684375,-0.000452813
-1.0220e-02,-0.0595313,0.000413438
-1.0210e-02,-0.0565625,-0.000402188
-1.0200e-02,-0.0440625,-2.65625e-05
-1.0190e-02,-0.0551563,0.000232188
-1.0180e-02,-0.0540625,-0.000479063
-1.0170e-02,-0.0473438,0.000489063
-1.0160e-02,-0.0515625,-0.00020375
-1.0150e-02,-0.0428125,8.21875e-05
-1.0140e-02,-0.0575,-0.000149687
-1.0130e-02,-0.0523437,2.5625e-05
-1.0120e-02,-0.0539063,-0.000529375
-1.0110e-02,-0.0551563,-0.000315313
-1.0100e-02,-0.0507812,-6.1875e-05
-1.0090e-02,-0.0585938,0.000246875
-1.0080e-02,-0.0628125,-0.000464063
-1.0070e-02,-0.0453125,-0.000515313
-1.0060e-02,-0.0528125,4.15625e-05
-1.0050e-02,-0.0375,-0.000160625
-1.0040e-02,-0.0582813,-0.000191563
-1.0030e-02,-0.06125,-0.0004375
-1.0020e-02,-0.04625,-0.000439063
-1.0010e-02,-0.0620312,6.25e-06
-1.0000e-02,-0.0579687,-0.000302813
-9.9900e-03,-0.061875,-0.00011625
-9.9800e-03,-0.0609375,5.0625e-05
-9.9700e-03,-0.0520313,-0.000425625
-9.9600e-03,-0.0603125,0.000357188
-9.9500e-03,-0.0567187,-0.000465938
-9.9400e-03,-0.0567187,-7.5625e-05
-9.9300e-03,-0.05875,-0.000186563
-9.9200e-03,-0.0532813,-0.000642188
-9.9100e-03,-0.0521875,0.000211875
-9.9000e-03,-0.0610938,-7.59375e-05
-9.8900e-03,-0.0557813,0.000116875
-9.8800e-03,-0.0528125,-0.000145938
-9.8700e-03,-0.0521875,-0.000456563
-9.8600e-03,-0.0453125,0.000275
-9.8500e-03,-0.048125,-9.96875e-05
-9.8400e-03,-0.0545313,-0.0004525
-9.8300e-03,-0.0660938,-0.000296875
-9.8200e-03,-0.0484375,-0.000589688
-9.8100e-03,-0.0525,-0.000449063
-9.8000e-03,-0.0551563,-0.000414375
-9.7900e-03,-0.059375,-0.000187813
-9.7800e-03,-0.0557813,0.000144688
-9.7700e-03,-0.0525,-0.000256875
-9.7600e-03,-0.0629688,0.00013125
-9.7500e-03,-0.0492188,-0.000149687
-9.7400e-03,-0.06,-0.000522188
-9.7300e-03,-0.0479688,0.00024
-9.7200e-03,-0.0434375,-0.000579063
-9.7100e-03,-0.05375,-0.000256563
-9.7000e-03,-0.0598438,0.000113438
-9.6900e-03,-0.0501562,-0.000428125
-9.6800e-03,-0.0464062,7.4375e-05
-9.6700e-03,-0.05875,7.59375e-05
-9.6600e-03,-0.0559375,-0.000189375
-9.6500e-03,-0.0542187,1.5e-05
-9.6400e-03,-0.0535937,-0.00033875
-9.6300e-03,-0.0601562,-0.000113438
