Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0604688,-0.000491875
-1.0220e-02,-0.0679688,-0.000259063
-1.0210e-02,-0.04375,0.000129688
-1.0200e-02,-0.0489062,-0.000350938
-1.0190e-02,-0.059375,-2.6875e-05
-1.0180e-02,-0.0517188,5.9375e-06
-1.0170e-02,-0.0557813,-0.000145938
-1.0160e-02,-0.0454688,-0.000208125
-1.0150e-02,-0.0579687,-0.00015125
-1.0140e-02,-0.0540625,-0.000254688
-1.0130e-02,-0.049375,-0.0006625
-1.0120e-02,-0.0551563,-0.000141875
-1.0110e-02,-0.0440625,-0.000192813
-1.0100e-02,-0.0590625,-0.000151563
-1.0090e-02,-0.0534375,-0.000662188
-1.0080e-02,-0.0523437,-0.000250313
-1.0070e-02,-0.053125,-0.000875938
-1.0060e-02,-0.0542187,-0.00031625
-1.0050e-02,-0.0525,0.000268125
-1.0040e-02,-0.0598438,2.25e-05
-1.0030e-02,-0.0540625,2.25e-05
-1.0020e-02,-0.0503125,-5.34375e-05
-1.0010e-02,-0.051875,0.000357813
-1.0000e-02,-0.0509375,-0.00123188
-9.9900e-03,-0.0490625,-0.000219375
-9.9800e-03,-0.048125,-7.625e-05
-9.9700e-03,-0.06,0.000435625
-9.9600e-03,-0.0671875,2.09375e-05
-9.9500e-03,-0.0564063,0.000226875
-9.9400e-03,-0.0526563,0.000273438
-9.9300e-03,-0.0476562,-0.000858438
-9.9200e-03,-0.0526563,-0.000423125
-9.9100e-03,-0.0378125,-2.71875e-05
-9.9000e-03,-0.0528125,-3.375e-05
-9.8900e-03,-0.0517188,0.00038125
-9.8800e-03,-0.0514063,-0.000153125
-9.8700e-03,-0.060625,-0.000211563
-9.8600e-03,-0.0523437,-8.59375e-05
-9.8500e-03,-0.0532813,-7.21875e-05
-9.8400e-03,-0.0548437,0.000122813
-9.8300e-03,-0.0567187,-0.000297188
-9.8200e-03,-0.0428125,-0.000436563
-9.8100e-03,-0.0484375,-0.00062
-9.8000e-03,-0.0567187,0.00021375
-9.7900e-03,-0.0479688,0.00052625
-9.7800e-03,-0.0498438,9.375e-05
-9.7700e-03,-0.0525,-0.000109688
-9.7600e-03,-0.0567187,-0.000833438
-9.7500e-03,-0.0635938,-0.000775625
-9.7400e-03,-0.0634375,-0.00097
-9.7300e-03,-0.041875,0.000373125
-9.7200e-03,-0.0417187,-0.000169063
-9.7100e-03,-0.0378125,-0.000125625
-9.7000e-03,-0.0478125,0.000134375
-9.6900e-03,-0.0526563,-8.09375e-05
-9.6800e-03,-0.0515625,4.375e-05
-9.6700e-03,-0.049375,0.000369375
-9.6600e-03,-0.048125,0.000536875
-9.6500e-03,-0.0553125,0.000515313
-9.6400e-03,-0.058125,0.000401563
-9.6300e-03,-0.0615625,-0.000532813
-9.6200e-03,-0.0464062,-0.000134375
