Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0473438,0.00052125
-1.0220e-02,-0.0482812,-1.46875e-05
-1.0210e-02,-0.0476562,-9.375e-07
-1.0200e-02,-0.0451563,-2.34375e-05
-1.0190e-02,-0.0485938,0.000240313
-1.0180e-02,-0.048125,0.000473125
-1.0170e-02,-0.04125,0.000154063
-1.0160e-02,-0.0417187,-0.000269375
-1.0150e-02,-0.0489062,1e-05
-1.0140e-02,-0.0629688,2.875e-05
-1.0130e-02,-0.0478125,-0.000216875
-1.0120e-02,-0.054375,-0.000496875
-1.0110e-02,-0.0590625,-0.00024125
-1.0100e-02,-0.043125,-0.000779063
-1.0090e-02,-0.0475,-0.000160625
-1.0080e-02,-0.0584375,1.9375e-05
-1.0070e-02,-0.0517188,-0.000448125
-1.0060e-02,-0.0384375,4.75e-05
-1.0050e-02,-0.0485938,-0.000130313
-1.0040e-02,-0.05375,0.000226875
-1.0030e-02,-0.0482812,0.000436875
-1.0020e-02,-0.048125,7.40625e-05
-1.0010e-02,-0.0335937,-9.28125e-05
-1.0000e-02,-0.0514063,-0.000605938
-9.9900e-03,-0.0496875,-0.000295938
-9.9800e-03,-0.040625,0.000435313
-9.9700e-03,-0.0485938,-0.00046125
-9.9600e-03,-0.0510938,-0.000411875
-9.9500e-03,-0.0440625,-0.000225938
-9.9400e-03,-0.0525,0.000121875
-9.9300e-03,-0.0503125,-0.000754375
-9.9200e-03,-0.0501562,0.0001425
-9.9100e-03,-0.0496875,-7.96875e-05
-9.9000e-03,-0.0565625,9.5e-05
-9.8900e-03,-0.0439063,-0.000416563
-9.8800e-03,-0.0364063,-0.000203125
-9.8700e-03,-0.045625,-0.000249375
-9.8600e-03,-0.0390625,-0.000545938
-9.8500e-03,-0.0532813,-0.000141563
-9.8400e-03,-0.0617188,-0.000675938
-9.8300e-03,-0.0526563,-0.000429375
-9.8200e-03,-0.04875,-0.000396875
-9.8100e-03,-0.0415625,-0.000150625
-9.8000e-03,-0.0478125,0.000198125
-9.7900e-03,-0.03875,0.00030625
-9.7800e-03,-0.0575,-0.000267188
-9.7700e-03,-0.0498438,-0.000344063
-9.7600e-03,-0.06125,-8.875e-05
-9.7500e-03,-0.0457813,-0.000385938
-9.7400e-03,-0.0439063,-0.000302813
-9.7300e-03,-0.0459375,-0.000130313
-9.7200e-03,-0.0435938,7.09375e-05
-9.7100e-03,-0.0492188,-0.000101875
-9.7000e-03,-0.0539063,5.15625e-05
-9.6900e-03,-0.04125,-0.000812813
-9.6800e-03,-0.0520313,9.9375e-05
-9.6700e-03,-0.0495312,-0.000994375
-9.6600e-03,-0.0635938,-0.000262187
-9.6500e-03,-0.0467188,-0.00015375
-9.6400e-03,-0.0490625,-0.000821563
-9.6300e-03,-0.0385937,-0.000360938
-9.6200e-03,-0.0595313,-0.000364375
