Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-06,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.02300e-02,-0.0428125,-0.0007775
-1.02290e-02,-0.050625,-0.00066875
-1.02280e-02,-0.0478125,-0.000305938
-1.02270e-02,-0.0501562,-0.000479688
-1.02260e-02,-0.0534375,-0.000527188
-1.02250e-02,-0.0553125,-0.000657813
-1.02240e-02,-0.0642188,-0.0006925
-1.02230e-02,-0.046875,-0.000325313
-1.02220e-02,-0.056875,-0.000215625
-1.02210e-02,-0.05875,-0.00040875
-1.02200e-02,-0.0476562,-0.000142188
-1.02190e-02,-0.0585938,-0.000690313
-1.02180e-02,-0.0542187,-0.000559688
-1.02170e-02,-0.0428125,-0.000391563
-1.02160e-02,-0.05125,-0.000402188
-1.02150e-02,-0.0501562,-0.000335313
-1.02140e-02,-0.0665625,-0.000368438
-1.02130e-02,-0.053125,-0.000298438
-1.02120e-02,-0.045625,-0.000718438
-1.02110e-02,-0.05625,-0.00021625
-1.02100e-02,-0.044375,-0.000247188
-1.02090e-02,-0.0475,0.00024
-1.02080e-02,-0.0507812,-5.8125e-05
-1.02070e-02,-0.044375,-4.53125e-05
-1.02060e-02,-0.0482812,9.0625e-06
-1.02050e-02,-0.0526563,-0.00043625
-1.02040e-02,-0.0565625,0.000122188
-1.02030e-02,-0.0564063,-9.625e-05
-1.02020e-02,-0.05,0.000120938
-1.02010e-02,-0.06375,-0.000132188
-1.02000e-02,-0.0554687,-0.000446563
-1.01990e-02,-0.0623438,-0.000252188
-1.01980e-02,-0.0503125,-0.000517813
-1.01970e-02,-0.0526563,-6.75e-05
-1.01960e-02,-0.0560937,-0.000166563
-1.01950e-02,-0.0557813,-0.000330938
-1.01940e-02,-0.0542187,-0.000180313
-1.01930e-02,-0.0564063,-0.000975313
-1.01920e-02,-0.0526563,-0.000369688
-1.01910e-02,-0.0617188,-8.46875e-05
-1.01900e-02,-0.049375,-0.000694375
-1.01890e-02,-0.0451563,5.375e-05
-1.01880e-02,-0.0557813,-0.000824375
-1.01870e-02,-0.055625,-0.000595625
-1.01860e-02,-0.0482812,0.000184375
-1.01850e-02,-0.0559375,-0.000440625
-1.01840e-02,-0.0590625,0.000347188
-1.01830e-02,-0.0595313,-9.9375e-05
-1.01820e-02,-0.0628125,-1.15625e-05
-1.01810e-02,-0.0426562,-0.000114688
-1.01800e-02,-0.0520313,-0.000390625
-1.01790e-02,-0.0589063,5.9375e-05
-1.01780e-02,-0.05625,-0.000323438
-1.01770e-02,-0.0521875,-5.71875e-05
-1.01760e-02,-0.0510938,5.125e-05
-1.01750e-02,-0.051875,-0.000214375
-1.01740e-02,-0.0517188,0.000379375
-1.01730e-02,-0.0585938,-0.000179375
-1.01720e-02,-0.06,0.00018125
-1.01710e-02,-0.0590625,0.000233438
-1.01700e-02,-0.0529687,-0.000379063
