Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0546875,0.000230313
-1.0220e-02,-0.0485938,0.000868125
-1.0210e-02,-0.0629688,0.000340938
-1.0200e-02,-0.0421875,0.000205313
-1.0190e-02,-0.0475,-0.000290938
-1.0180e-02,-0.0460938,5.09375e-05
-1.0170e-02,-0.0509375,-0.00028375
-1.0160e-02,-0.0548437,0.000370313
-1.0150e-02,-0.0454688,0.00011375
-1.0140e-02,-0.0390625,0.000254063
-1.0130e-02,-0.0492188,0.000165938
-1.0120e-02,-0.05125,-6.4375e-05
-1.0110e-02,-0.0640625,2.03125e-05
-1.0100e-02,-0.0704687,-0.000244688
-1.0090e-02,-0.048125,-0.000354063
-1.0080e-02,-0.0540625,-7.8125e-06
-1.0070e-02,-0.0548437,0.000205938
-1.0060e-02,-0.053125,-0.000208125
-1.0050e-02,-0.0584375,-0.000487813
-1.0040e-02,-0.05,2.59375e-05
-1.0030e-02,-0.0420312,-0.000673125
-1.0020e-02,-0.0557813,-0.000793125
-1.0010e-02,-0.0515625,-0.000574063
-1.0000e-02,-0.0542187,-0.000555313
-9.9900e-03,-0.053125,-0.000246563
-9.9800e-03,-0.0492188,-0.000511875
-9.9700e-03,-0.051875,-0.000696875
-9.9600e-03,-0.0520313,-0.000476875
-9.9500e-03,-0.0507812,-0.000358125
-9.9400e-03,-0.051875,0.000203125
-9.9300e-03,-0.0596875,0.000122813
-9.9200e-03,-0.043125,-0.000189688
-9.9100e-03,-0.04375,-6.25e-06
-9.9000e-03,-0.054375,-0.000396563
-9.8900e-03,-0.04875,-1.53125e-05
-9.8800e-03,-0.0573437,-0.000445313
-9.8700e-03,-0.050625,-0.000144375
-9.8600e-03,-0.0529687,-0.000379688
-9.8500e-03,-0.055625,0.000157813
-9.8400e-03,-0.054375,0.00011625
-9.8300e-03,-0.0557813,6.75e-05
-9.8200e-03,-0.0517188,-0.00057375
-9.8100e-03,-0.0495312,-0.000221563
-9.8000e-03,-0.034375,-0.000465938
-9.7900e-03,-0.0610938,7.21875e-05
-9.7800e-03,-0.0464062,-0.00052
-9.7700e-03,-0.0625,-0.000542813
-9.7600e-03,-0.0489062,-0.000106563
-9.7500e-03,-0.050625,3.4375e-06
-9.7400e-03,-0.0573437,0.000172188
-9.7300e-03,-0.0604688,-4.25e-05
-9.7200e-03,-0.0495312,-4.6875e-06
-9.7100e-03,-0.0465625,9.875e-05
-9.7000e-03,-0.061875,0.000626563
-9.6900e-03,-0.0646875,-0.00014
-9.6800e-03,-0.044375,-6.8125e-05
-9.6700e-03,-0.0475,-2.71875e-05
-9.6600e-03,-0.0464062,-0.000124063
-9.6500e-03,-0.059375,-0.000568438
-9.6400e-03,-0.0534375,-0.000254063
-9.6300e-03,-0.0578125,-0.0001
-9.6200e-03,-0.0425,-0.00030375
