Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0440625,0.000217188
-1.0220e-02,-0.0521875,0.000362188
-1.0210e-02,-0.055,0.000145313
-1.0200e-02,-0.0470312,3.3125e-05
-1.0190e-02,-0.053125,0.000302188
-1.0180e-02,-0.0495312,-0.000352813
-1.0170e-02,-0.0484375,9.375e-06
-1.0160e-02,-0.0434375,-0.000435
-1.0150e-02,-0.0470312,-0.000541875
-1.0140e-02,-0.045625,-0.000100938
-1.0130e-02,-0.0395313,-8.40625e-05
-1.0120e-02,-0.054375,0.000365938
-1.0110e-02,-0.0428125,8.09375e-05
-1.0100e-02,-0.0423437,-0.00018
-1.0090e-02,-0.055625,0.000154688
-1.0080e-02,-0.0475,0.00037625
-1.0070e-02,-0.05,0.000382188
-1.0060e-02,-0.0521875,0.000243125
-1.0050e-02,-0.0590625,0.000249063
-1.0040e-02,-0.048125,-0.00017375
-1.0030e-02,-0.0460938,-0.000305
-1.0020e-02,-0.0454688,-0.00058625
-1.0010e-02,-0.0514063,0.000325938
-1.0000e-02,-0.0559375,-0.000144063
-9.9900e-03,-0.0509375,-0.000634375
-9.9800e-03,-0.0526563,-0.000259688
-9.9700e-03,-0.0415625,-0.000235938
-9.9600e-03,-0.0365625,-0.000495
-9.9500e-03,-0.0451563,-0.000665313
-9.9400e-03,-0.0429688,-0.000634375
-9.9300e-03,-0.0485938,-0.000244375
-9.9200e-03,-0.04625,-0.000181563
-9.9100e-03,-0.0457813,-0.000342813
-9.9000e-03,-0.0564063,0.000105625
-9.8900e-03,-0.056875,0.00028
-9.8800e-03,-0.0359375,9.4375e-05
-9.8700e-03,-0.0410937,0.000245
-9.8600e-03,-0.0501562,-0.000103438
-9.8500e-03,-0.0632812,-0.0004075
-9.8400e-03,-0.0457813,-0.00054625
-9.8300e-03,-0.0459375,-0.000467813
-9.8200e-03,-0.0448438,-0.000333438
-9.8100e-03,-0.0507812,-0.00042375
-9.8000e-03,-0.0467188,-4.53125e-05
-9.7900e-03,-0.046875,-0.000163438
-9.7800e-03,-0.0504687,-0.000222188
-9.7700e-03,-0.0490625,-0.000526875
-9.7600e-03,-0.0509375,-0.000490938
-9.7500e-03,-0.049375,-0.000256563
-9.7400e-03,-0.0482812,4.5625e-05
-9.7300e-03,-0.0482812,-0.000253438
-9.7200e-03,-0.0389063,-7.375e-05
-9.7100e-03,-0.0334375,0.000201875
-9.7000e-03,-0.0451563,0.0003525
-9.6900e-03,-0.0425,0.000579063
-9.6800e-03,-0.0503125,-0.000463438
-9.6700e-03,-0.0495312,-0.00050875
-9.6600e-03,-0.0495312,0.000349688
-9.6500e-03,-0.0476562,0.000135
-9.6400e-03,-0.0471875,-0.000316563
-9.6300e-03,-0.0710937,0.000341875
-9.6200e-03,-0.0548437,3.25e-05
