Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0514063,-0.00125781
-1.0220e-02,-0.0578125,-0.00147906
-1.0210e-02,-0.0471875,-0.00226063
-1.0200e-02,-0.0521875,-0.00162594
-1.0190e-02,-0.05625,-0.00193188
-1.0180e-02,-0.0532813,-0.00175625
-1.0170e-02,-0.0620312,-0.0015525
-1.0160e-02,-0.05375,-0.00189531
-1.0150e-02,-0.049375,-0.00199031
-1.0140e-02,-0.0557813,-0.00148281
-1.0130e-02,-0.0629688,-0.0016
-1.0120e-02,-0.053125,-0.00170406
-1.0110e-02,-0.0384375,-0.0014825
-1.0100e-02,-0.055625,-0.00209531
-1.0090e-02,-0.0621875,-0.00191281
-1.0080e-02,-0.0551563,-0.00191906
-1.0070e-02,-0.0546875,-0.00102375
-1.0060e-02,-0.0445313,-0.00176563
-1.0050e-02,-0.050625,-0.00142531
-1.0040e-02,-0.0629688,-0.000719063
-1.0030e-02,-0.0390625,-0.00165125
-1.0020e-02,-0.0503125,-0.00216531
-1.0010e-02,-0.0610938,-0.00180281
-1.0000e-02,-0.0526563,-0.0027275
-9.9900e-03,-0.0509375,-0.00138594
-9.9800e-03,-0.0539063,-0.0009125
-9.9700e-03,-0.0628125,-0.00160563
-9.9600e-03,-0.0604688,-0.00118094
-9.9500e-03,-0.0440625,-0.00142031
-9.9400e-03,-0.0565625,-0.000479688
-9.9300e-03,-0.0545313,-0.00139281
-9.9200e-03,-0.0454688,-0.0016475
-9.9100e-03,-0.0589063,-0.00163031
-9.9000e-03,-0.0517188,-0.00155188
-9.8900e-03,-0.0489062,-0.00173844
-9.8800e-03,-0.0495312,-0.00174656
-9.8700e-03,-0.0590625,-0.001545
-9.8600e-03,-0.0385937,-0.00174281
-9.8500e-03,-0.0453125,-0.00148344
-9.8400e-03,-0.0495312,-0.00180625
-9.8300e-03,-0.0570313,-0.00145156
-9.8200e-03,-0.05,-0.000749063
-9.8100e-03,-0.058125,-0.00161656
-9.8000e-03,-0.06375,-0.00249531
-9.7900e-03,-0.0534375,-0.00154875
-9.7800e-03,-0.0435938,-0.00178
-9.7700e-03,-0.0535937,-0.00208688
-9.7600e-03,-0.0553125,-0.00183781
-9.7500e-03,-0.0589063,-0.00147219
-9.7400e-03,-0.0471875,-0.0018725
-9.7300e-03,-0.0473438,-0.0015275
-9.7200e-03,-0.0640625,-0.00108844
-9.7100e-03,-0.0620312,-0.00112594
-9.7000e-03,-0.0542187,-0.000891875
-9.6900e-03,-0.0503125,-0.00143906
-9.6800e-03,-0.051875,-0.00145875
-9.6700e-03,-0.0485938,-0.00154188
-9.6600e-03,-0.05,-0.00103563
-9.6500e-03,-0.0515625,-0.00173313
-9.6400e-03,-0.0514063,-0.00168656
-9.6300e-03,-0.0554687,-0.00147688
-9.6200e-03,-0.05875,-0.00101656
