Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0451563,-0.00190469
-1.0220e-02,-0.055625,-0.00192969
-1.0210e-02,-0.0495312,-0.00186875
-1.0200e-02,-0.039375,-0.00215875
-1.0190e-02,-0.0560937,-0.00200656
-1.0180e-02,-0.0492188,-0.00208656
-1.0170e-02,-0.0585938,-0.00169313
-1.0160e-02,-0.0451563,-0.00192625
-1.0150e-02,-0.0459375,-0.00175125
-1.0140e-02,-0.0459375,-0.00198125
-1.0130e-02,-0.05375,-0.00229437
-1.0120e-02,-0.0392187,-0.00151594
-1.0110e-02,-0.055625,-0.00186
-1.0100e-02,-0.0445313,-0.00194625
-1.0090e-02,-0.0504687,-0.00241906
-1.0080e-02,-0.0365625,-0.00185344
-1.0070e-02,-0.0385937,-0.00189313
-1.0060e-02,-0.0560937,-0.002225
-1.0050e-02,-0.054375,-0.00207594
-1.0040e-02,-0.0440625,-0.00186563
-1.0030e-02,-0.0504687,-0.0022175
-1.0020e-02,-0.046875,-0.001845
-1.0010e-02,-0.0514063,-0.00211781
-1.0000e-02,-0.061875,-0.00134531
-9.9900e-03,-0.0560937,-0.00178281
-9.9800e-03,-0.051875,-0.00201281
-9.9700e-03,-0.055625,-0.00188969
-9.9600e-03,-0.0521875,-0.0023625
-9.9500e-03,-0.0365625,-0.00160531
-9.9400e-03,-0.04625,-0.00179938
-9.9300e-03,-0.0464062,-0.00224844
-9.9200e-03,-0.0484375,-0.00171094
-9.9100e-03,-0.05,-0.0021675
-9.9000e-03,-0.0409375,-0.002375
-9.8900e-03,-0.0507812,-0.00195344
-9.8800e-03,-0.0410937,-0.00219375
-9.8700e-03,-0.0403125,-0.00162813
-9.8600e-03,-0.043125,-0.00217938
-9.8500e-03,-0.0528125,-0.00224688
-9.8400e-03,-0.0521875,-0.00258156
-9.8300e-03,-0.0517188,-0.00182031
-9.8200e-03,-0.0403125,-0.00200719
-9.8100e-03,-0.0457813,-0.00222781
-9.8000e-03,-0.0484375,-0.00200531
-9.7900e-03,-0.0373438,-0.00230219
-9.7800e-03,-0.0415625,-0.0020925
-9.7700e-03,-0.0420312,-0.00199031
-9.7600e-03,-0.0617188,-0.00210813
-9.7500e-03,-0.0564063,-0.0019475
-9.7400e-03,-0.0515625,-0.00145469
-9.7300e-03,-0.0525,-0.00222656
-9.7200e-03,-0.06375,-0.00227094
-9.7100e-03,-0.0457813,-0.00183906
-9.7000e-03,-0.0514063,-0.0022425
-9.6900e-03,-0.049375,-0.00213125
-9.6800e-03,-0.0482812,-0.00171219
-9.6700e-03,-0.0425,-0.00150063
-9.6600e-03,-0.0501562,-0.00241063
-9.6500e-03,-0.0434375,-0.0016025
-9.6400e-03,-0.0514063,-0.00137344
-9.6300e-03,-0.0553125,-0.00178031
-9.6200e-03,-0.0426562,-0.00162063
