Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0351562,-0.000557188
-1.0220e-02,-0.0379688,-9.6875e-05
-1.0210e-02,-0.04125,-0.000222188
-1.0200e-02,-0.035625,-0.00145031
-1.0190e-02,-0.0276563,-0.000706563
-1.0180e-02,-0.0454688,0.000155
-1.0170e-02,-0.0345312,-1.625e-05
-1.0160e-02,-0.0248438,-9.8125e-05
-1.0150e-02,-0.044375,0.000240313
-1.0140e-02,-0.0321875,0.000450313
-1.0130e-02,-0.0432813,0.000620938
-1.0120e-02,-0.034375,0.00053625
-1.0110e-02,-0.03625,-0.000444688
-1.0100e-02,-0.0420312,-4.1875e-05
-1.0090e-02,-0.044375,-0.000349688
-1.0080e-02,-0.0434375,0.000402813
-1.0070e-02,-0.045625,-0.000256875
-1.0060e-02,-0.03875,-0.000261563
-1.0050e-02,-0.0420312,-0.000106875
-1.0040e-02,-0.03375,-0.000883125
-1.0030e-02,-0.03375,-0.000255938
-1.0020e-02,-0.0367188,7.6875e-05
-1.0010e-02,-0.0407813,0.000411875
-1.0000e-02,-0.044375,0.000104688
-9.9900e-03,-0.0360938,-0.000331563
-9.9800e-03,-0.0348437,-0.000483438
-9.9700e-03,-0.0382813,-0.000464688
-9.9600e-03,-0.025,-0.00031375
-9.9500e-03,-0.0282813,-0.000277188
-9.9400e-03,-0.0401563,-0.000199688
-9.9300e-03,-0.0340625,0.000355
-9.9200e-03,-0.040625,0.000208125
-9.9100e-03,-0.0332812,-0.000419375
-9.9000e-03,-0.0442188,-0.000316563
-9.8900e-03,-0.0395313,9.8125e-05
-9.8800e-03,-0.04125,0.000329688
-9.8700e-03,-0.0373438,0.000142188
-9.8600e-03,-0.0323438,-1.3125e-05
-9.8500e-03,-0.0384375,-0.000389063
-9.8400e-03,-0.0385937,-0.0006375
-9.8300e-03,-0.0482812,-0.000476563
-9.8200e-03,-0.0240625,-0.000419375
-9.8100e-03,-0.0390625,-0.0002475
-9.8000e-03,-0.0435938,-3e-05
-9.7900e-03,-0.0385937,9.125e-05
-9.7800e-03,-0.0279688,0.0006275
-9.7700e-03,-0.0253125,0.00023
-9.7600e-03,-0.0432813,-9.125e-05
-9.7500e-03,-0.0351562,0.000163125
-9.7400e-03,-0.0329688,-9.6875e-05
-9.7300e-03,-0.0342187,-0.000232813
-9.7200e-03,-0.0348437,-0.000120625
-9.7100e-03,-0.0451563,9.96875e-05
-9.7000e-03,-0.0567187,-0.000721563
-9.6900e-03,-0.0353125,-0.000109688
-9.6800e-03,-0.0409375,-0.000412188
-9.6700e-03,-0.03875,-0.000199063
-9.6600e-03,-0.0442188,-0.000114063
-9.6500e-03,-0.041875,7.1875e-06
-9.6400e-03,-0.0351562,-0.000137188
-9.6300e-03,-0.0289063,-0.000390313
-9.6200e-03,-0.044375,-0.000421875
