Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0545313,-0.00179906
-1.0220e-02,-0.0548437,-0.0016525
-1.0210e-02,-0.05375,-0.00101031
-1.0200e-02,-0.0589063,-0.0014025
-1.0190e-02,-0.0575,-0.00166531
-1.0180e-02,-0.0507812,-0.00145438
-1.0170e-02,-0.05875,-0.00139406
-1.0160e-02,-0.0526563,-0.00183125
-1.0150e-02,-0.0554687,-0.0017725
-1.0140e-02,-0.0523437,-0.00219063
-1.0130e-02,-0.0573437,-0.00166688
-1.0120e-02,-0.0473438,-0.00189125
-1.0110e-02,-0.0504687,-0.00192156
-1.0100e-02,-0.0565625,-0.00170219
-1.0090e-02,-0.0607812,-0.00207531
-1.0080e-02,-0.0554687,-0.00168469
-1.0070e-02,-0.069375,-0.00178125
-1.0060e-02,-0.0517188,-0.00194938
-1.0050e-02,-0.0595313,-0.00256813
-1.0040e-02,-0.0589063,-0.0020275
-1.0030e-02,-0.0514063,-0.00190281
-1.0020e-02,-0.0598438,-0.00144531
-1.0010e-02,-0.0520313,-0.00124344
-1.0000e-02,-0.064375,-0.00175344
-9.9900e-03,-0.0510938,-0.00142281
-9.9800e-03,-0.0573437,-0.0015925
-9.9700e-03,-0.0585938,-0.0012325
-9.9600e-03,-0.0440625,-0.00117781
-9.9500e-03,-0.0596875,-0.00167188
-9.9400e-03,-0.04125,-0.00183375
-9.9300e-03,-0.0532813,-0.00155
-9.9200e-03,-0.0525,-0.00182438
-9.9100e-03,-0.0548437,-0.00173344
-9.9000e-03,-0.044375,-0.00173375
-9.8900e-03,-0.0490625,-0.00227125
-9.8800e-03,-0.049375,-0.001445
-9.8700e-03,-0.048125,-0.00210188
-9.8600e-03,-0.0521875,-0.00183906
-9.8500e-03,-0.0582813,-0.00159813
-9.8400e-03,-0.049375,-0.00178656
-9.8300e-03,-0.0529687,-0.00141281
-9.8200e-03,-0.0546875,-0.00152656
-9.8100e-03,-0.0665625,-0.00156969
-9.8000e-03,-0.0529687,-0.0012875
-9.7900e-03,-0.043125,-0.00171344
-9.7800e-03,-0.0479688,-0.00125313
-9.7700e-03,-0.0571875,-0.00172656
-9.7600e-03,-0.055,-0.00188875
-9.7500e-03,-0.0596875,-0.00126563
-9.7400e-03,-0.054375,-0.00159094
-9.7300e-03,-0.0539063,-0.00195594
-9.7200e-03,-0.0584375,-0.00175125
-9.7100e-03,-0.0567187,-0.0019475
-9.7000e-03,-0.0576563,-0.00187156
-9.6900e-03,-0.048125,-0.00182781
-9.6800e-03,-0.0582813,-0.00195875
-9.6700e-03,-0.0490625,-0.001725
-9.6600e-03,-0.0498438,-0.00237313
-9.6500e-03,-0.0546875,-0.00150375
-9.6400e-03,-0.065,-0.00191094
-9.6300e-03,-0.05,-0.00131813
-9.6200e-03,-0.048125,-0.00185063
