Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05012,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,1,,
Vertical Position,0.02,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.200000e-04,-0.061875,-0.00151219,4.95678
1.210000e-04,-0.0620312,-0.00192156,4.96771
1.220000e-04,-0.0482812,-0.00135781,4.9649
1.230000e-04,-0.0559375,-0.00177031,4.9549
1.240000e-04,-0.0679688,-0.00136656,4.95615
1.250000e-04,-0.059375,-0.00155563,4.9749
1.260000e-04,-0.0673438,-0.00200781,4.94959
1.270000e-04,-0.0614062,-0.00121813,4.95834
1.280000e-04,-0.0557813,-0.00170844,4.96334
1.290000e-04,-0.05875,-0.00169031,4.95959
1.300000e-04,-0.06125,-0.00172063,4.95334
1.310000e-04,-0.0596875,-0.00189563,4.94396
1.320000e-04,-0.0664062,-0.00164969,4.94115
1.330000e-04,-0.0571875,-0.00149094,4.95678
1.340000e-04,-0.0592188,-0.00184875,4.93584
1.350000e-04,-0.0609375,-0.00124063,4.96177
1.360000e-04,-0.054375,-0.00198469,4.92052
1.370000e-04,-0.0610938,-0.00164063,4.93834
1.380000e-04,-0.0589063,-0.00157656,4.95177
1.390000e-04,-0.0520313,-0.00180563,4.95646
1.400000e-04,-0.0539063,-0.000991875,4.94365
1.410000e-04,-0.0676563,-0.00157063,4.97084
1.420000e-04,-0.0596875,-0.00193781,4.94521
1.430000e-04,-0.0576563,-0.00119781,4.94521
1.440000e-04,-0.048125,-0.00194688,4.95303
1.450000e-04,-0.0501562,-0.00153875,4.92865
1.460000e-04,-0.0517188,-0.001335,4.9524
1.470000e-04,-0.0625,-0.00217438,4.92584
1.480000e-04,-0.058125,-0.00105063,4.94896
1.490000e-04,-0.0534375,-0.00174656,4.94959
1.500000e-04,-0.0684375,-0.00197688,4.92365
1.510000e-04,-0.0525,-0.00113938,4.9324
1.520000e-04,-0.056875,-0.00192281,4.95115
1.530000e-04,-0.06125,-0.00150594,4.95209
1.540000e-04,-0.055625,-0.00157438,4.96021
1.550000e-04,-0.0551563,-0.00198813,4.92521
1.560000e-04,-0.0589063,-0.00145125,4.9249
1.570000e-04,-0.0621875,-0.00170594,4.95646
1.580000e-04,-0.0629688,-0.00169156,4.94303
1.590000e-04,-0.0490625,-0.00116906,4.96334
1.600000e-04,-0.0485938,-0.0024025,4.94865
1.610000e-04,-0.0670313,-0.00133875,4.94177
1.620000e-04,-0.0571875,-0.00137875,4.9449
1.630000e-04,-0.0665625,-0.00232594,4.92521
1.640000e-04,-0.0614062,-0.00115656,4.93396
1.650000e-04,-0.060625,-0.00150813,4.9324
1.660000e-04,-0.0628125,-0.0019875,4.94427
1.670000e-04,-0.0667188,-0.000794688,4.92521
1.680000e-04,-0.0582813,-0.00207094,4.94896
1.690000e-04,-0.0607812,-0.00174875,4.93896
1.700000e-04,-0.0567187,-0.00122719,4.94865
1.710000e-04,-0.0742188,-0.00201094,4.91115
