Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.03977,,
Sample Interval,1e-05,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,1,,
Vertical Position,0.02,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-1.0230e-02,-0.0589063,0.00159406,-0.136038
-1.0220e-02,-0.0546875,0.00131063,-0.126663
-1.0210e-02,-0.0554687,0.00147406,-0.12385
-1.0200e-02,-0.0485938,0.000856563,-0.114788
-1.0190e-02,-0.0523437,0.00140531,-0.142288
-1.0180e-02,-0.0515625,0.00183781,-0.127912
-1.0170e-02,-0.0401563,0.00209594,-0.114475
-1.0160e-02,-0.0521875,0.00145375,-0.122287
-1.0150e-02,-0.0528125,0.00159156,-0.13135
-1.0140e-02,-0.0545313,0.00100688,-0.129475
-1.0130e-02,-0.0626562,0.00169844,-0.134475
-1.0120e-02,-0.0534375,0.000990625,-0.105725
-1.0110e-02,-0.0510938,0.00088125,-0.116663
-1.0100e-02,-0.0595313,0.00149281,-0.165725
-1.0090e-02,-0.0579687,0.001795,-0.146038
-1.0080e-02,-0.0457813,0.00146125,-0.103538
-1.0070e-02,-0.0495312,0.00158375,-0.144787
-1.0060e-02,-0.0517188,0.00134813,-0.100725
-1.0050e-02,-0.056875,0.00145594,-0.1376
-1.0040e-02,-0.0490625,0.00150656,-0.10635
-1.0030e-02,-0.050625,0.00215344,-0.135725
-1.0020e-02,-0.055,0.00155406,-0.1151
-1.0010e-02,-0.0545313,0.00113,-0.111975
-1.0000e-02,-0.053125,0.00144844,-0.115725
-9.9900e-03,-0.0535937,0.00195375,-0.108538
-9.9800e-03,-0.0596875,0.00175969,-0.119163
-9.9700e-03,-0.0448438,0.00218719,-0.110725
-9.9600e-03,-0.0484375,0.00169125,-0.11885
-9.9500e-03,-0.0426562,0.00245938,-0.148537
-9.9400e-03,-0.0553125,0.00154906,-0.12635
-9.9300e-03,-0.0515625,0.00225281,-0.15135
-9.9200e-03,-0.049375,0.00216875,-0.125413
-9.9100e-03,-0.0595313,0.00206563,-0.099475
-9.9000e-03,-0.0478125,0.00206219,-0.114163
-9.8900e-03,-0.05125,0.00133438,-0.1376
-9.8800e-03,-0.0498438,0.00186344,-0.123537
-9.8700e-03,-0.056875,0.00131031,-0.125725
-9.8600e-03,-0.0565625,0.00142344,-0.131975
-9.8500e-03,-0.0504687,0.00211406,-0.129475
-9.8400e-03,-0.055625,0.00132969,-0.106975
-9.8300e-03,-0.0467188,0.00122063,-0.108538
-9.8200e-03,-0.0579687,0.00137906,-0.132912
-9.8100e-03,-0.0634375,0.00137031,-0.123225
-9.8000e-03,-0.06125,0.00241094,-0.134788
-9.7900e-03,-0.054375,0.00145844,-0.109163
-9.7800e-03,-0.050625,0.00207281,-0.118225
-9.7700e-03,-0.051875,0.00157063,-0.105413
-9.7600e-03,-0.0614062,0.00169406,-0.111038
-9.7500e-03,-0.049375,0.00131281,-0.1201
-9.7400e-03,-0.0567187,0.00166438,-0.122287
