Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.051875,-0.000230313
-1.0220e-02,-0.0403125,-0.000195
-1.0210e-02,-0.040625,4.40625e-05
-1.0200e-02,-0.048125,-4.96875e-05
-1.0190e-02,-0.039375,-0.000283125
-1.0180e-02,-0.0510938,3.65625e-05
-1.0170e-02,-0.0554687,-0.00016
-1.0160e-02,-0.0514063,-0.000262187
-1.0150e-02,-0.060625,-0.000123438
-1.0140e-02,-0.0576563,0.000142813
-1.0130e-02,-0.0565625,-0.000314063
-1.0120e-02,-0.0510938,-0.000226875
-1.0110e-02,-0.049375,-0.000191563
-1.0100e-02,-0.0635938,-0.000200313
-1.0090e-02,-0.0564063,-0.000309063
-1.0080e-02,-0.0501562,-0.000411875
-1.0070e-02,-0.0523437,-0.0002425
-1.0060e-02,-0.0465625,-0.000216563
-1.0050e-02,-0.05375,-0.000489375
-1.0040e-02,-0.0564063,-0.000125625
-1.0030e-02,-0.0559375,-9.375e-07
-1.0020e-02,-0.0476562,-0.000101875
-1.0010e-02,-0.0378125,-0.000296563
-1.0000e-02,-0.0376563,4.75e-05
-9.9900e-03,-0.0476562,0.000106563
-9.9800e-03,-0.0509375,-0.000266563
-9.9700e-03,-0.0521875,-0.000434063
-9.9600e-03,-0.043125,-0.000165625
-9.9500e-03,-0.04125,-0.000175625
-9.9400e-03,-0.0414063,6.25e-05
-9.9300e-03,-0.045625,-8.03125e-05
-9.9200e-03,-0.0409375,-0.00022625
-9.9100e-03,-0.0582813,-4.59375e-05
-9.9000e-03,-0.05375,-5.375e-05
-9.8900e-03,-0.0667188,-0.000169375
-9.8800e-03,-0.0584375,-0.000269375
-9.8700e-03,-0.0460938,-0.000280313
-9.8600e-03,-0.051875,-0.000394063
-9.8500e-03,-0.053125,7.8125e-05
-9.8400e-03,-0.0415625,-0.0003025
-9.8300e-03,-0.055,-0.000256875
-9.8200e-03,-0.039375,-2.8125e-06
-9.8100e-03,-0.0467188,8.875e-05
-9.8000e-03,-0.0604688,-6e-05
-9.7900e-03,-0.0523437,0.000123438
-9.7800e-03,-0.0473438,-0.00012625
-9.7700e-03,-0.0607812,-9.3125e-05
-9.7600e-03,-0.0521875,-0.000448438
-9.7500e-03,-0.050625,-4.375e-06
-9.7400e-03,-0.04375,-0.000144375
-9.7300e-03,-0.049375,-0.000238125
-9.7200e-03,-0.0471875,0.000111563
-9.7100e-03,-0.0532813,-0.000311875
-9.7000e-03,-0.0498438,-0.000202188
-9.6900e-03,-0.0615625,-1.40625e-05
-9.6800e-03,-0.0596875,-0.000290313
-9.6700e-03,-0.0446875,-8.0625e-05
-9.6600e-03,-0.0542187,-0.000114063
-9.6500e-03,-0.0451563,-0.000249375
-9.6400e-03,-0.0523437,-0.000330313
-9.6300e-03,-0.0492188,3.125e-05
