Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0579687,0.00032625
-1.0220e-02,-0.0548437,-5.59375e-05
-1.0210e-02,-0.05875,-0.000230313
-1.0200e-02,-0.0590625,-0.000613438
-1.0190e-02,-0.0495312,0.000185313
-1.0180e-02,-0.0446875,0.000259375
-1.0170e-02,-0.0401563,-9e-05
-1.0160e-02,-0.046875,-1.6875e-05
-1.0150e-02,-0.0520313,-0.000234375
-1.0140e-02,-0.05,-0.0009875
-1.0130e-02,-0.0490625,-0.00114469
-1.0120e-02,-0.0542187,-0.00093875
-1.0110e-02,-0.0428125,-0.000873125
-1.0100e-02,-0.0557813,-0.000385938
-1.0090e-02,-0.0496875,-0.0001125
-1.0080e-02,-0.0454688,5.75e-05
-1.0070e-02,-0.0473438,-0.00075
-1.0060e-02,-0.0534375,-0.000330938
-1.0050e-02,-0.0471875,-0.000180625
-1.0040e-02,-0.0551563,-0.000178438
-1.0030e-02,-0.0570313,0.00054
-1.0020e-02,-0.0457813,4.65625e-05
-1.0010e-02,-0.05875,-0.000433438
-1.0000e-02,-0.0615625,0.000138438
-9.9900e-03,-0.0526563,-0.0008625
-9.9800e-03,-0.0564063,0.000237188
-9.9700e-03,-0.0492188,-0.0001825
-9.9600e-03,-0.0521875,-0.00019375
-9.9500e-03,-0.0496875,9.40625e-05
-9.9400e-03,-0.0473438,0.000264375
-9.9300e-03,-0.0482812,0.000259688
-9.9200e-03,-0.046875,-0.000325938
-9.9100e-03,-0.0560937,-0.000404063
-9.9000e-03,-0.0540625,-3.5e-05
-9.8900e-03,-0.059375,-0.000223438
-9.8800e-03,-0.0492188,-0.000409688
-9.8700e-03,-0.0601562,-1.71875e-05
-9.8600e-03,-0.0471875,-0.000470313
-9.8500e-03,-0.0515625,-0.000555
-9.8400e-03,-0.06125,-0.000391563
-9.8300e-03,-0.041875,-0.000486563
-9.8200e-03,-0.0510938,-0.0001
-9.8100e-03,-0.0546875,-0.00047375
-9.8000e-03,-0.0467188,-0.00013375
-9.7900e-03,-0.0434375,-0.000224375
-9.7800e-03,-0.0554687,-0.000280313
-9.7700e-03,-0.0451563,-0.000635
-9.7600e-03,-0.0515625,3.625e-05
-9.7500e-03,-0.0521875,-0.000302188
-9.7400e-03,-0.0445313,-0.0006675
-9.7300e-03,-0.0482812,-0.000393438
-9.7200e-03,-0.05125,-0.000101875
-9.7100e-03,-0.0529687,-0.000649375
-9.7000e-03,-0.0467188,-0.000333438
-9.6900e-03,-0.0559375,6.1875e-05
-9.6800e-03,-0.0567187,-0.000555313
-9.6700e-03,-0.0510938,-0.00035
-9.6600e-03,-0.034375,0.000205625
-9.6500e-03,-0.0485938,0.000301875
-9.6400e-03,-0.0554687,-0.00045125
-9.6300e-03,-0.0532813,-0.000399375
-9.6200e-03,-0.0501562,-9.78125e-05
