Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0490625,-0.00145969
-1.0220e-02,-0.0509375,-0.00103031
-1.0210e-02,-0.0492188,-0.00183969
-1.0200e-02,-0.0596875,-0.00114813
-1.0190e-02,-0.030625,-0.00156688
-1.0180e-02,-0.0435938,-0.00156563
-1.0170e-02,-0.0478125,-0.00126438
-1.0160e-02,-0.0457813,-0.00200156
-1.0150e-02,-0.051875,-0.00174594
-1.0140e-02,-0.0510938,-0.00182125
-1.0130e-02,-0.053125,-0.00142438
-1.0120e-02,-0.0507812,-0.00125281
-1.0110e-02,-0.05625,-0.00139656
-1.0100e-02,-0.034375,-0.00106656
-1.0090e-02,-0.0389063,-0.00111531
-1.0080e-02,-0.0489062,-0.00126938
-1.0070e-02,-0.0479688,-0.00115969
-1.0060e-02,-0.0471875,-0.00146469
-1.0050e-02,-0.0495312,-0.00149656
-1.0040e-02,-0.03875,-0.00117375
-1.0030e-02,-0.0467188,-0.0016775
-1.0020e-02,-0.0492188,-0.00162625
-1.0010e-02,-0.05,-0.00182438
-1.0000e-02,-0.0503125,-0.00135906
-9.9900e-03,-0.0498438,-0.00144188
-9.9800e-03,-0.0417187,-0.00185844
-9.9700e-03,-0.0420312,-0.00152438
-9.9600e-03,-0.0315625,-0.00213531
-9.9500e-03,-0.0470312,-0.00132125
-9.9400e-03,-0.0492188,-0.001895
-9.9300e-03,-0.0525,-0.00095125
-9.9200e-03,-0.0526563,-0.00127625
-9.9100e-03,-0.0440625,-0.00184375
-9.9000e-03,-0.0459375,-0.00197281
-9.8900e-03,-0.0565625,-0.00140625
-9.8800e-03,-0.0471875,-0.00139469
-9.8700e-03,-0.051875,-0.00149688
-9.8600e-03,-0.045625,-0.00174594
-9.8500e-03,-0.046875,-0.00145375
-9.8400e-03,-0.0440625,-0.0021
-9.8300e-03,-0.0385937,-0.00138969
-9.8200e-03,-0.0473438,-0.00128906
-9.8100e-03,-0.0570313,-0.00140313
-9.8000e-03,-0.0375,-0.00172094
-9.7900e-03,-0.038125,-0.000684375
-9.7800e-03,-0.0475,-0.0014625
-9.7700e-03,-0.0385937,-0.00173281
-9.7600e-03,-0.045625,-0.00189344
-9.7500e-03,-0.0565625,-0.00088125
-9.7400e-03,-0.06625,-0.00191313
-9.7300e-03,-0.050625,-0.00130781
-9.7200e-03,-0.044375,-0.00176906
-9.7100e-03,-0.035,-0.00151594
-9.7000e-03,-0.0626562,-0.00181594
-9.6900e-03,-0.04625,-0.00109813
-9.6800e-03,-0.0540625,-0.00196156
-9.6700e-03,-0.0375,-0.00226187
-9.6600e-03,-0.0428125,-0.00187688
-9.6500e-03,-0.0490625,-0.0015175
-9.6400e-03,-0.04125,-0.00173875
-9.6300e-03,-0.0415625,-0.00118687
-9.6200e-03,-0.0526563,-0.00142781
