Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0567187,0.00038875
-1.0220e-02,-0.0620312,-0.000414063
-1.0210e-02,-0.0570313,-0.000564063
-1.0200e-02,-0.0517188,0.000244375
-1.0190e-02,-0.0590625,-8.3125e-05
-1.0180e-02,-0.04875,-7.875e-05
-1.0170e-02,-0.0614062,-9e-05
-1.0160e-02,-0.0439063,0.000157813
-1.0150e-02,-0.0671875,-8.40625e-05
-1.0140e-02,-0.0489062,0.0004275
-1.0130e-02,-0.0564063,-0.000223125
-1.0120e-02,-0.0509375,8.375e-05
-1.0110e-02,-0.0515625,-0.00170031
-1.0100e-02,-0.0484375,-0.000574688
-1.0090e-02,-0.05,0.00027375
-1.0080e-02,-0.0646875,-1.125e-05
-1.0070e-02,-0.0489062,-0.000559063
-1.0060e-02,-0.05125,0.000157188
-1.0050e-02,-0.0490625,-0.000383125
-1.0040e-02,-0.0596875,-0.0004725
-1.0030e-02,-0.0598438,9.96875e-05
-1.0020e-02,-0.0515625,-0.000365625
-1.0010e-02,-0.0514063,-0.0001025
-1.0000e-02,-0.0496875,-0.000306563
-9.9900e-03,-0.0551563,-0.000469063
-9.9800e-03,-0.0571875,-9.8125e-05
-9.9700e-03,-0.0482812,-0.000209063
-9.9600e-03,-0.0582813,-0.000102188
-9.9500e-03,-0.0551563,-0.000756563
-9.9400e-03,-0.0496875,0.000361875
-9.9300e-03,-0.0510938,-0.000487813
-9.9200e-03,-0.0507812,-0.00038
-9.9100e-03,-0.0529687,0.000145313
-9.9000e-03,-0.0548437,-8.625e-05
-9.8900e-03,-0.054375,0.00021875
-9.8800e-03,-0.055,-0.000342188
-9.8700e-03,-0.0582813,-0.000542188
-9.8600e-03,-0.0585938,-0.000600313
-9.8500e-03,-0.0567187,-0.00014125
-9.8400e-03,-0.0475,-0.000748438
-9.8300e-03,-0.0584375,-0.00114719
-9.8200e-03,-0.0540625,-0.000670938
-9.8100e-03,-0.0503125,-0.000515
-9.8000e-03,-0.0657812,-0.000356563
-9.7900e-03,-0.053125,-0.000419063
-9.7800e-03,-0.0534375,2.59375e-05
-9.7700e-03,-0.06,-0.000169375
-9.7600e-03,-0.0529687,0.00073625
-9.7500e-03,-0.0471875,-0.000277813
-9.7400e-03,-0.0517188,-0.000539688
-9.7300e-03,-0.0671875,-0.00036125
-9.7200e-03,-0.0490625,-0.000352813
-9.7100e-03,-0.0509375,2.53125e-05
-9.7000e-03,-0.0496875,-3.71875e-05
-9.6900e-03,-0.0610938,0.00010375
-9.6800e-03,-0.0520313,-0.00012125
-9.6700e-03,-0.0389063,0.000121563
-9.6600e-03,-0.05875,7e-05
-9.6500e-03,-0.0578125,-5.78125e-05
-9.6400e-03,-0.06,6.625e-05
-9.6300e-03,-0.0482812,-0.000976562
-9.6200e-03,-0.05125,-7.5e-05
