Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0485938,-5.34375e-05
-1.0220e-02,-0.0520313,-0.0002425
-1.0210e-02,-0.0496875,-0.000144375
-1.0200e-02,-0.0457813,0.000134063
-1.0190e-02,-0.0423437,5.03125e-05
-1.0180e-02,-0.0551563,-0.000677813
-1.0170e-02,-0.0467188,-0.000668438
-1.0160e-02,-0.044375,0.00020625
-1.0150e-02,-0.0517188,-0.00046375
-1.0140e-02,-0.0495312,-0.000899375
-1.0130e-02,-0.0496875,-6e-05
-1.0120e-02,-0.0565625,0.000465938
-1.0110e-02,-0.0590625,0.000435313
-1.0100e-02,-0.0367188,9.09375e-05
-1.0090e-02,-0.0567187,0.00017
-1.0080e-02,-0.0579687,0.0001
-1.0070e-02,-0.0510938,-3e-05
-1.0060e-02,-0.0485938,0.000215
-1.0050e-02,-0.0435938,-0.000267188
-1.0040e-02,-0.0542187,-5.25e-05
-1.0030e-02,-0.0557813,0.000344063
-1.0020e-02,-0.0517188,0.000195625
-1.0010e-02,-0.0573437,5.625e-06
-1.0000e-02,-0.0603125,-0.000433125
-9.9900e-03,-0.0490625,-0.0004325
-9.9800e-03,-0.0471875,-0.000674063
-9.9700e-03,-0.0479688,-0.000755313
-9.9600e-03,-0.0592188,-0.000136875
-9.9500e-03,-0.0595313,-0.000221563
-9.9400e-03,-0.0395313,-0.000273438
-9.9300e-03,-0.0503125,-8.6875e-05
-9.9200e-03,-0.044375,-0.000177188
-9.9100e-03,-0.0490625,0.00023625
-9.9000e-03,-0.0625,-0.000225313
-9.8900e-03,-0.04625,-3.9375e-05
-9.8800e-03,-0.045625,-0.000496875
-9.8700e-03,-0.058125,-0.000124688
-9.8600e-03,-0.0510938,0.000139375
-9.8500e-03,-0.0460938,0.000404375
-9.8400e-03,-0.0704687,5.21875e-05
-9.8300e-03,-0.0623438,0.000390938
-9.8200e-03,-0.0540625,0.000128437
-9.8100e-03,-0.04625,-0.000274375
-9.8000e-03,-0.0484375,1.53125e-05
-9.7900e-03,-0.0482812,-0.000190938
-9.7800e-03,-0.0471875,-0.000303125
-9.7700e-03,-0.0509375,-0.000235625
-9.7600e-03,-0.0529687,-0.000157813
-9.7500e-03,-0.0560937,6.03125e-05
-9.7400e-03,-0.0576563,9.6875e-05
-9.7300e-03,-0.0521875,-1.09375e-05
-9.7200e-03,-0.0498438,-0.0002
-9.7100e-03,-0.0504687,-0.000440313
-9.7000e-03,-0.05,-0.000295625
-9.6900e-03,-0.0540625,0.000234063
-9.6800e-03,-0.0457813,-0.000413438
-9.6700e-03,-0.0525,0.00010125
-9.6600e-03,-0.0507812,0.000360313
-9.6500e-03,-0.063125,0.000259375
-9.6400e-03,-0.0646875,-0.000140938
-9.6300e-03,-0.0451563,-0.000185938
-9.6200e-03,-0.0526563,-0.00021875
