Model,MDO4054-3
Firmware Version,2.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.01,
Horizontal Delay,0.03977,
Sample Interval,1e-05,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Vertical Position,0.02,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0230e-02,-0.0567187,-0.00047625
-1.0220e-02,-0.0542187,0.000279063
-1.0210e-02,-0.0626562,-6.78125e-05
-1.0200e-02,-0.0435938,-0.00052375
-1.0190e-02,-0.055625,-0.0003575
-1.0180e-02,-0.0514063,-0.000415
-1.0170e-02,-0.0484375,-0.000405313
-1.0160e-02,-0.0532813,-0.000455938
-1.0150e-02,-0.0496875,-0.000105625
-1.0140e-02,-0.0548437,-0.000153125
-1.0130e-02,-0.0560937,-0.000475
-1.0120e-02,-0.0482812,-0.00038625
-1.0110e-02,-0.0560937,-0.000289688
-1.0100e-02,-0.05375,-4.09375e-05
-1.0090e-02,-0.0589063,0.000303438
-1.0080e-02,-0.046875,0.0001325
-1.0070e-02,-0.0621875,5.84375e-05
-1.0060e-02,-0.049375,0.000106563
-1.0050e-02,-0.0504687,0.000252188
-1.0040e-02,-0.058125,-0.000251562
-1.0030e-02,-0.0392187,-0.0005275
-1.0020e-02,-0.0620312,1.28125e-05
-1.0010e-02,-0.0620312,-0.000504063
-1.0000e-02,-0.0457813,-8.71875e-05
-9.9900e-03,-0.0503125,-0.000749063
-9.9800e-03,-0.044375,0.000233125
-9.9700e-03,-0.0560937,0.000233125
-9.9600e-03,-0.0423437,-0.000515938
-9.9500e-03,-0.0567187,-0.0003325
-9.9400e-03,-0.046875,-0.000574375
-9.9300e-03,-0.054375,-0.000567188
-9.9200e-03,-0.0540625,-0.000466875
-9.9100e-03,-0.0417187,-2.5e-06
-9.9000e-03,-0.0515625,0.000304063
-9.8900e-03,-0.064375,-0.00041125
-9.8800e-03,-0.0490625,-7.28125e-05
-9.8700e-03,-0.046875,0.000259375
-9.8600e-03,-0.0492188,0.0001725
-9.8500e-03,-0.049375,0.000134688
-9.8400e-03,-0.0525,-0.000809688
-9.8300e-03,-0.0575,7.65625e-05
-9.8200e-03,-0.0501562,-0.000570938
-9.8100e-03,-0.0535937,-0.000531875
-9.8000e-03,-0.0514063,8.34375e-05
-9.7900e-03,-0.0582813,-0.000237188
-9.7800e-03,-0.0510938,-0.000465313
-9.7700e-03,-0.055,-0.000545625
-9.7600e-03,-0.0540625,-0.000888438
-9.7500e-03,-0.0603125,-0.000681875
-9.7400e-03,-0.060625,7.5e-06
-9.7300e-03,-0.0523437,-0.000341875
-9.7200e-03,-0.0576563,-0.000296875
-9.7100e-03,-0.0589063,9.6875e-06
-9.7000e-03,-0.046875,-0.000980625
-9.6900e-03,-0.0564063,-0.000319063
-9.6800e-03,-0.0459375,4.75e-05
-9.6700e-03,-0.0346875,-0.000490625
-9.6600e-03,-0.0465625,-0.000206563
-9.6500e-03,-0.0576563,0.00017
-9.6400e-03,-0.053125,2.125e-05
-9.6300e-03,-0.0532813,-0.000635313
-9.6200e-03,-0.051875,0.000125
