V,I1,I2,I3,I4,I5
0,1.06078,1.06039,1.06016,1.06004,1.06013
0.04,0.99743,0.99745,0.99763,0.99805,0.99796
0.09,0.89937,0.89973,0.90013,0.90052,0.90033
0.13,0.83813,0.83766,0.83797,0.83822,0.83863
0.18,0.7627,0.76265,0.7625,0.76235,0.7622
0.23,0.675,0.67531,0.67484,0.67502,0.67514
0.27,0.61856,0.6188,0.6188,0.61912,0.61889
0.33,0.54081,0.54053,0.54066,0.54047,0.54065
0.38,0.46796,0.46801,0.46835,0.46809,0.46825
0.42,0.41621,0.41648,0.41626,0.41621,0.41657
0.47,0.35151,0.35137,0.35142,0.35156,0.35165
0.51,0.31472,0.31463,0.31478,0.31471,0.31502
0.55,0.27196,0.27166,0.27142,0.27143,0.27126
0.58,0.24267,0.24258,0.24251,0.24258,0.2426
0.63,0.19749,0.19754,0.19751,0.19768,0.19748
0.66,0.16946,0.16968,0.16974,0.1694,0.16922
0.7,0.14041,0.14031,0.14036,0.14057,0.14042
0.74,0.11331,0.11313,0.11364,0.11325,0.11358
0.79,0.08391,0.08411,0.08398,0.08403,0.08409
0.81,0.07507,0.07514,0.075,0.07515,0.075
0.83,0.06468,0.06482,0.06473,0.06476,0.06473
0.85,0.05565,0.05569,0.05559,0.05558,0.05588
0.86,0.05158,0.05144,0.05162,0.05145,0.05144
0.88,0.04344,0.04322,0.04281,0.04273,0.04295
0.89,0.03961,0.03939,0.03956,0.03962,0.03965
0.9,0.03617,0.03629,0.03622,0.03622,0.03638
0.91,0.0343,0.03409,0.03433,0.03446,0.03429
0.92,0.03068,0.03081,0.03064,0.03076,0.03067
0.93,0.02942,0.02953,0.02946,0.02951,0.02943
0.94,0.02691,0.02658,0.02678,0.02686,0.0265
0.95,0.02448,0.02496,0.02487,0.02473,0.02467
0.97,0.02099,0.0205,0.02054,0.02066,0.02057
0.98,0.01688,0.01717,0.01714,0.01715,0.01717
0.99,0.01602,0.0162,0.01616,0.01606,0.01619
1,0.01495,0.01492,0.01504,0.01495,0.01502
1.02,0.01076,0.01085,0.01079,0.0106,0.01083
1.04,0.00861,0.00852,0.00866,0.00859,0.00852
1.05,0.00762,0.00769,0.00768,0.00756,0.00768
1.07,0.0052,0.00525,0.00531,0.00528,0.00527
1.09,0.00396,0.0041,0.00424,0.00442,0.00415
1.12,0.00278,0.00274,0.00288,0.00253,0.00252
1.15,0.00139,0.00149,0.00137,0.00145,0.00145
1.18,0.00066,0.0007,0.00061,0.00064,0.00067
1.2,0.00008,0.00002,0.00016,0,0.00004
1.24,-0.00052,-0.00059,-0.00058,-0.00052,-0.0005
1.28,-0.0011,-0.00108,-0.00101,-0.00118,-0.00105
1.32,-0.00144,-0.0014,-0.00141,-0.00143,-0.00145
1.39,-0.00201,-0.00209,-0.00193,-0.00201,-0.00204
1.42,-0.00222,-0.00224,-0.00224,-0.00222,-0.00232
