V,I1,I2,I3,I4,I5
0,0.01309,0.01285,0.01295,0.0131,0.01296
0.05,0.0097,0.00973,0.00966,0.00977,0.00952
0.1,0.00601,0.00668,0.00677,0.00548,0.00622
0.15,0.00478,0.00498,0.00511,0.00437,0.00498
0.2,0.004,0.00395,0.00385,0.00366,0.00387
0.22,0.00359,0.0037,0.00367,0.00356,0.00361
0.24,0.00345,0.00349,0.00337,0.0035,0.00354
0.26,0.00304,0.00314,0.00319,0.00317,0.00327
0.28,0.00307,0.0027,0.00299,0.00302,0.00293
0.29,0.0029,0.00298,0.00285,0.00295,0.0029
0.3,0.00281,0.00301,0.00283,0.00276,0.00295
0.32,0.00282,0.00274,0.00269,0.00271,0.00284
0.33,0.00287,0.00279,0.00259,0.0029,0.0029
0.34,0.00252,0.00287,0.00268,0.00267,0.00287
0.35,0.00264,0.00256,0.00263,0.00279,0.00251
0.37,0.00257,0.00262,0.00268,0.00267,0.0024
0.38,0.00243,0.0025,0.00254,0.00265,0.00245
0.41,0.00229,0.00249,0.00256,0.00259,0.0025
0.44,0.00228,0.0026,0.00246,0.00235,0.00254
0.47,0.00243,0.00227,0.00238,0.00221,0.00229
0.5,0.00224,0.00213,0.00232,0.0023,0.00223
0.53,0.00214,0.00204,0.00217,0.00206,0.00215
0.56,0.00196,0.00205,0.00196,0.00197,0.00223
